Content,Date,User
"Haremos historia muy pronto, el día que te veamos salir del palacio nacional por la puerta de atrás, como el vil, cobarde, corrupto y asqueroso ser humano que eres.",24 ago.,@estupidonio
Hagamos historia ayudándome a robarte más!  Vaya cinismo. Ni sus focas compran esa estafa.,24 ago.,@RiosCorona1
"Tiene razón, presidente, los que compraron y usaron ese avión, son ratas corruptas que creían que por usarlo como si fuesen reyes, los hacía chingones e inteligentes. Y no son más que simples pendejos que dejaban morir al pueblo para darse esos lujos y creer que no eran pendejos.",24 ago.,@Mamonymex
La gente se está muriendo y tu más preocupado por tu puta rifa.,24 ago.,@Lalogale
Renuncia. Harás historia.,24 ago.,@BereniceRL11
Critica los lujos el hipócrita que vive en un palacio...🤡🤡🤡,24 ago.,@luis_gj
"La seguridad, la violencia, los niños con cáncer, la recesión económica, el covid vale madre.

El Payaso preocupándose por lo primero, el #avionatolero",24 ago.,@jokerobrador
"Sigamos haciendo historia, Presidente.",24 ago.,@ChairoMexicano
"La historia ya la hicieron. La rifa de un avión arrendado, en la que quien gana la rifa no se gana el avión. Más surreal imposible. Tener al Presidente @lopezobrador_ de vendedor de lotería en medio de la peor pandemia en la historia ya merece calificativos más fuertes.",24 ago.,@jorgesuarezv
No tienes 2 gramos de madre. Pinche viejo manipulador.,24 ago.,@MewSam
"Lo compraremos señor presidente, no se preocupe, el pueblo le responderá",24 ago.,@leonelangello9
Cuanto a que se acaban DE VOLADA! Yo compraré unos 2.,24 ago.,@soyelciudadano2
Y quién protege a los niños de ti?✍️🧐,24 ago.,@DonPorfifirio
"5 millones de multas!!!
Por lo del gass!!
En mi vida voy a ver tal cantidad del Papel pintando,  anijos!!
Bola del ratetos, vividores del esfuerzo del pueblo.
Lo padre es qué nada se llevan de aquí nada están robando algo qué nunca se van a quedar.
Tan básicos!!",24 ago.,@chairosky2
"Y falta que investiguen a tus hijos junto con los yernos de Miguel de la Madrid haciendo bisnes con extranjeros y expropiando tierras en el norte del país de manera ilegal, todavía hay mucho que sacar a relucir con tu mafia morenista, llena de expriistas y expanistas claro....",24 ago.,@ElverGa83429811
"Mas de 60,000 muertos por #COVID19 
Mas de 50,000 muertos por la violencia.

De que te ríes ?

#ElCacasDestructorDeMexico",24 ago.,@androb19267
"Muy bien estaría perfecto que vaya usted tras todos los involucrados en el caso Lozoya, pero también estaría perfecto que vaya usted tras su propio hermano, David León, Manuel Bartlett, Irma Erendida, Jhon Ackerman y todos los que rodean a su transformación de cuarta. ¿O no?",23 ago.,@Alejandrohatuni
Por que tu hermano no está detenido y lozoya sí? La justicia selectiva #LopezEstasBienPendejo #LopezCorruptoConfeso,23 ago.,@MemourinhoH
......... Y porque evade usted su RESPONSABILIDAD en los temas que obviamente involucran a ENRIQUE PEÑA NIETO?????????? ESO HUELE MUY MAL!!!,23 ago.,@calbert57
